timestamp,open,high,low,close,volume,ema_20,ema_50,ema_200,rsi_14,macd,macd_signal,macd_hist,stoch_k,stoch_d,bb_upper,bb_lower,bb_mid,bb_width,atr_14,volume_sma_20,volume_ratio,above_ema200,above_ema50,ema_bullish,macd_bullish,rsi_oversold,rsi_overbought,high_volume,future_return_1h,future_return_4h,future_return_24h,hit_tp_before_sl,signal
2024-11-25,98033.4453125,98935.03125,92642.9140625,93102.296875,80909462490.0,89015.67672950038,79313.63369550074,66050.3709765625,63.92955201083633,6503.837192657331,6427.785041158319,76.05215149901233,79.39933706431228,89.52948248900802,104289.23696353467,73203.40366146533,88746.3203125,0.3502774333922538,3515.0171603476806,78194078035.25,1.034726216140382,1,1,1,1,0,0,0,4.6822,8.6687,-7.5942,0,HOLD
2024-11-26,93087.28125,94991.75,90770.8125,91985.3203125,91656519855.0,89298.49992788129,79810.5625824419,66308.430173935,61.22933246870206,5945.706488526572,6331.369330631969,-385.66284210539743,63.02869005969828,78.65786887592175,103874.81367552493,75252.45116822509,89563.63242187501,0.31957572212434204,3565.440041751418,76847271329.85,1.192710141412628,1,1,1,0,0,0,0,4.8527,8.7597,2.4602,1,SELL
2024-11-27,91978.140625,97361.1796875,91778.6640625,95962.53125,71133452438.0,89933.1695776069,80443.97311842458,66603.49585628392,66.63348407078522,5757.937647101877,6216.6829939259505,-458.74534682407375,56.36439931226249,66.26414214542434,103601.81531503488,77531.2167162151,90566.51601562499,0.2878613393312154,3709.5168691263166,77230561202.29999,0.9210531599229346,1,1,1,0,0,0,0,1.3727,5.728,-10.3133,1,SELL
2024-11-28,95954.9453125,96650.203125,94677.3515625,95652.46875,52260008261.0,90477.86473688242,81040.38471181969,66892.54036268905,65.86272394985166,5520.473453426093,6077.44108582598,-556.9676323998865,60.780147553291606,60.05774564175079,102929.51672800265,80114.21452199733,91521.86562499999,0.249287993095424,3585.469347224437,77084718715.2,0.6779554901676651,1,1,1,0,0,0,0,0.2225,5.9805,-8.8134,1,SELL
2024-11-29,95653.953125,98693.171875,95407.8828125,97461.5234375,54968682476.0,91142.97508932218,81684.35093635618,67196.70934850805,68.17570780986301,5415.826684695203,5945.118205599824,-529.2915209046214,73.16132981049807,63.43529222535072,101899.43194413038,83212.5649308696,92555.99843749999,0.201897957222939,3564.027898315549,78382678820.95001,0.7012860915555753,1,1,1,0,0,0,0,-1.4974,7.0153,-7.0161,0,SELL
2024-11-30,97468.8125,97499.34375,96144.21875,96449.0546875,31634227866.0,91648.31600343436,82263.35892659711,67487.77746133384,65.50082284780069,5191.352915066222,5794.365147493104,-603.0122324268823,72.85720453455741,68.9328939661157,100909.45065808992,85800.03293566007,93354.741796875,0.16184949400112453,3406.2491198644384,75835860489.50002,0.4171407519056235,1,1,1,0,0,0,0,2.4049,9.9334,-6.7262,1,SELL
2024-12-01,96461.3359375,97888.125,95770.1875,97279.7890625,36590695296.0,92184.64677096443,82852.23853976978,67784.2153877136,66.65679670218987,5022.591844387483,5640.01048687198,-617.4186424844966,75.7889598730476,73.93583140603435,101198.77032110737,86368.54374139263,93783.65703125,0.15813231269892905,3314.226861302693,71767053002.45001,0.5098536691307479,1,1,1,0,0,0,0,-0.7054,9.1086,-10.8318,0,SELL
2024-12-02,97276.0078125,98152.6015625,94482.8671875,95865.3046875,72680784305.0,92535.1856201583,83362.55485928862,68063.62921159208,62.798386340356686,4720.297758022236,5456.067941102032,-735.770183079796,68.79970378629855,72.48195606463452,101113.63774731822,87244.62553393177,94179.131640625,0.14726205234413023,3339.6202551382153,68717427948.95002,1.057676145256693,1,1,1,0,0,0,0,4.2303,4.3564,-10.1295,1,SELL
2024-12-03,95854.59375,96297.203125,93629.5625,96002.1640625,67067810961.0,92865.37404323847,83858.22580843417,68341.62458324291,63.021422489514904,4440.582651804187,5252.970883242463,-812.3882314382763,64.88642768681751,69.82503044872121,101214.44238022108,87685.6209010289,94450.03164062499,0.14323787132934257,3291.621710128343,65892867103.550026,1.017831123596482,1,1,1,0,0,0,0,4.0845,1.5508,-16.0425,1,SELL
2024-12-04,95988.53125,99207.328125,94660.5234375,98768.53125,77199817112.0,93427.57949150147,84442.94366888773,68644.3798734594,67.29026785613789,4391.506573265215,5080.678021247014,-689.1714479817992,69.27564737350745,67.65392628220783,101139.40394961955,88912.46948788043,95025.93671874999,0.12866944419529797,3381.277637083461,65372022696.750015,1.1809305254346674,1,1,1,0,0,0,0,2.4982,-1.0252,-20.4888,0,SELL
2024-12-05,98741.5390625,103900.46875,91998.78125,96593.5703125,149218945580.0,93729.10242683467,84919.43883138233,68922.48127086279,61.29873362166026,4129.509837819991,4890.44438456161,-760.9345467416188,64.41518477647035,66.19241994559843,101156.2838671154,89448.34582038455,95302.31484374998,0.12285051067150096,3989.8783415774997,68920814499.85002,2.1650780923421142,1,1,1,0,0,0,1,0.8687,0.6534,-14.2156,1,SELL
