date,funding_rate,long_liquidations,short_liquidations,open_interest,long_short_ratio,etf_flow
2020-02-28,,0.0,0.0,3391169438.0,,
2020-02-29,,0.0,0.0,2955134394.0,,
2020-03-01,,0.0,0.0,2927926667.0,,
2020-03-02,,0.0,0.0,2994902711.0,,
2020-03-03,,0.0,0.0,2954106180.0,,
2020-03-04,,0.0,0.0,2931545149.0,,
2020-03-05,,0.0,0.0,3235702530.0,,
2020-03-06,,0.0,0.0,3321210256.0,,
2020-03-07,,0.0,0.0,3626666590.0,,
2020-03-08,,0.0,0.0,3634176361.0,,
2020-03-09,,0.0,0.0,3317542607.0,,
2020-03-10,,0.0,0.0,3178278133.0,,
2020-03-11,,0.0,0.0,3066750971.0,,
2020-03-12,,0.0,0.0,3118446102.0,,
2020-03-13,,0.0,0.0,2087688765.0,,
2020-03-14,,0.0,0.0,1688404101.0,,
2020-03-15,,0.0,0.0,1670251469.0,,
2020-03-16,,0.0,0.0,1478801166.0,,
2020-03-17,,0.0,0.0,1449444589.0,,
2020-03-18,,0.0,0.0,1454859551.0,,
2020-03-19,,0.0,0.0,1506557032.0,,
2020-03-20,,0.0,0.0,1501791262.0,,
2020-03-21,,0.0,0.0,1391115148.0,,
2020-03-22,,0.0,0.0,1536819811.0,,
2020-03-23,,0.0,0.0,1578708407.0,,
2020-03-24,,0.0,0.0,1434364303.0,,
2020-03-25,,0.0,0.0,1416774521.0,,
2020-03-26,,0.0,0.0,1470544782.0,,
2020-03-27,,0.0,0.0,1486356512.0,,
2020-03-28,,0.0,0.0,1508986079.0,,
2020-03-29,,0.0,0.0,1583503970.0,,
2020-03-30,,0.0,0.0,1624629014.0,,
2020-03-31,,0.0,0.0,1570268486.0,,
2020-04-01,,0.0,0.0,1615067030.0,,
2020-04-02,,0.0,0.0,1634211203.0,,
2020-04-03,,0.0,0.0,1573251022.0,,
2020-04-04,,0.0,0.0,1618993812.0,,
2020-04-05,,0.0,0.0,1647760406.0,,
2020-04-06,,0.0,0.0,1652247770.0,,
2020-04-07,,0.0,0.0,1777332052.0,,
