date,hash_rate,total_btc_supply,tx_volume_usd
2024-04-30,617535316.5382024,19691975.0,9309712608.562164
2024-05-01,578118168.6740619,19692565.625,8725783357.945253
2024-05-02,635054048.9222649,19692959.375,8551356016.181779
2024-05-03,564979119.3860149,19693356.25,5447644455.234284
2024-05-04,617535316.5382024,19693750.0,2535276294.7820964
2024-05-05,608775950.3461711,19694143.75,1613446518.3047206
2024-05-06,534321337.7139056,19694734.375,5491391681.421094
2024-05-07,534321337.7139056,19694943.75,4764574677.705591
2024-05-08,556219753.1939834,19695356.25,4826242476.1033
2024-05-09,613867438.0566123,19695750.0,4649344428.186168
2024-05-10,599332437.5790136,19696343.75,4160729596.332065
2024-05-11,657199017.7590562,19696737.5,1989012570.1560533
2024-05-12,545599184.5546882,19697153.125,1881158872.1569226
2024-05-13,607599091.8904481,19697553.125,5759327016.077168
2024-05-14,562132493.1775575,19698143.75,5418457538.779011
2024-05-15,582799128.9561441,19698537.5,8003836077.364244
2024-05-16,586932456.1118613,19698943.75,7101103820.324476
2024-05-17,640665709.1361867,19699337.5,7835288947.482639
2024-05-18,529065875.9318188,19699937.5,2349266373.133145
2024-05-19,636532381.9804695,19700337.5,3000326237.631906
2024-05-20,644799036.2919042,19700734.375,7022731812.543269
2024-05-21,570399147.4889922,19701325.0,11045188897.642183
2024-05-22,632399054.8247522,19701721.875,8214273488.198978
2024-05-23,706194547.0096976,19702131.25,9092947802.681757
2024-05-24,671140034.7624127,19702728.125,8162826585.536556
2024-05-25,671140034.7624127,19703125.0,2016644986.3119543
2024-05-26,704697036.5005332,19703718.75,3376577962.077557
2024-05-27,515938901.7236049,19704312.5,3759980652.3522434
2024-05-28,562079779.1135205,19704512.5,25126148317.408638
2024-05-29,574663654.7653158,19705103.125,6388638321.04567
2024-05-30,515938901.7236049,19705500.0,8488992411.997545
2024-05-31,620804532.1552316,19705893.75,9197804710.416952
2024-06-01,591442155.634376,19706287.5,2035171781.513369
2024-06-02,587247530.4171109,19706681.25,1639206773.6388125
2024-06-03,658556159.1106174,19707075.0,10231630580.222765
2024-06-04,562079779.1135205,19707665.625,8099405366.314405
2024-06-05,515938901.7236049,19708062.5,9970731483.523262
2024-06-06,554910858.050012,19708456.25,7566456857.2989645
2024-06-07,590944002.9609013,19708850.0,9046106615.578749
2024-06-08,715791327.5301057,19709243.75,3010368337.856259
2024-06-09,636721355.302943,19709834.375,1356745169.9412165
2024-06-10,578459270.5039809,19710425.0,7071634843.4280405
