id,entry_date,exit_date,entry_price,exit_price,btc_amount,usd_size,buy_fee,sell_fee,pnl,pnl_pct,exit_reason,holding_days
1,2024-12-22,2024-12-30,95152.49,92162.97,0.0158823,1511.24,1.51,1.46,-50.46,-3.34,atr_trailing_stop,8
2,2024-12-23,2024-12-30,94733.59,92162.97,0.01352213,1281.0,1.28,1.25,-37.29,-2.91,atr_trailing_stop,7
3,2024-12-27,2025-01-08,94211.94,95192.57,0.01152678,1085.96,1.09,1.1,9.12,0.84,atr_trailing_stop,12
4,2024-12-30,2025-01-08,92689.53,95192.57,0.01533053,1420.98,1.42,1.46,35.49,2.5,atr_trailing_stop,9
5,2024-12-31,2025-01-08,93475.92,95192.57,0.01277901,1194.53,1.19,1.22,19.53,1.63,atr_trailing_stop,8
6,2025-02-02,2025-02-03,97737.82,93297.44,0.01633851,1596.89,1.6,1.52,-75.67,-4.73,atr_trailing_stop,1
7,2025-02-25,2025-02-26,88780.54,85149.37,0.01946632,1728.23,1.73,1.66,-74.07,-4.28,atr_trailing_stop,1
8,2025-03-01,2025-03-02,86074.93,85993.24,0.01718294,1479.02,1.48,1.48,-4.36,-0.29,atr_trailing_stop,1
9,2025-06-05,2025-06-09,101626.74,110238.95,0.02319281,2357.01,2.36,2.56,194.83,8.26,sell_signal,4
10,2025-06-21,2025-07-10,102308.53,111159.87,0.02342473,2396.55,2.4,2.6,202.34,8.43,atr_trailing_stop,19
11,2025-06-22,2025-07-10,101037.63,111159.87,0.01687836,1705.35,1.71,1.88,167.27,9.8,atr_trailing_stop,18
12,2025-08-01,2025-08-14,113376.75,118208.02,0.02483931,2816.2,2.82,2.94,114.25,4.05,atr_trailing_stop,13
13,2025-08-02,2025-08-14,112583.18,118208.02,0.01846288,2078.61,2.08,2.18,99.59,4.79,atr_trailing_stop,12
14,2025-08-19,2025-08-24,112887.6,111120.33,0.02462343,2779.68,2.78,2.74,-49.03,-1.76,atr_trailing_stop,5
15,2025-08-20,2025-08-24,114331.88,111120.33,0.0184505,2109.48,2.11,2.05,-63.41,-3.0,atr_trailing_stop,4
16,2025-08-21,2025-08-24,112475.24,111120.33,0.01347016,1515.06,1.52,1.5,-21.26,-1.4,atr_trailing_stop,3
17,2025-08-24,2025-08-26,113515.16,109121.81,0.02250404,2554.55,2.55,2.46,-103.88,-4.06,atr_trailing_stop,2
18,2025-08-25,2025-09-01,110179.41,107646.97,0.01654393,1822.8,1.82,1.78,-45.5,-2.49,atr_trailing_stop,7
