fvg_id,timeframe,type,created_at,price_low,price_high,filled,filled_at,strength_score,active
15m_fvg_1,15m,bearish,2026-05-08T06:00:00,79614.3,79623.7,True,2026-05-08T06:15:00,25,False
15m_fvg_2,15m,bearish,2026-05-08T06:45:00,79544.3,79546.9,True,2026-05-08T07:30:00,25,False
15m_fvg_3,15m,bearish,2026-05-08T07:15:00,79366.3,79471.6,True,2026-05-08T07:30:00,25,False
15m_fvg_4,15m,bullish,2026-05-08T07:45:00,79366.3,79558.8,False,,75,True
15m_fvg_5,15m,bullish,2026-05-08T08:00:00,79558.8,79652.1,True,2026-05-08T13:45:00,50,False
15m_fvg_6,15m,bullish,2026-05-08T08:15:00,79698.8,79700.0,True,2026-05-08T13:00:00,25,False
15m_fvg_7,15m,bullish,2026-05-08T08:30:00,79713.6,79740.0,True,2026-05-08T13:00:00,25,False
15m_fvg_8,15m,bullish,2026-05-08T08:45:00,79752.9,79864.5,True,2026-05-08T13:00:00,50,False
15m_fvg_9,15m,bearish,2026-05-08T09:45:00,79858.5,79900.0,True,2026-05-08T10:00:00,0,False
15m_fvg_10,15m,bullish,2026-05-08T10:45:00,79889.3,80136.6,True,2026-05-08T13:00:00,50,False
15m_fvg_11,15m,bullish,2026-05-08T11:00:00,80151.5,80204.3,True,2026-05-08T11:30:00,25,False
15m_fvg_12,15m,bearish,2026-05-08T12:45:00,80220.9,80240.2,True,2026-05-08T14:15:00,0,False
15m_fvg_13,15m,bearish,2026-05-08T13:00:00,80089.4,80161.9,True,2026-05-08T14:15:00,0,False
15m_fvg_14,15m,bearish,2026-05-08T13:15:00,79796.8,79960.3,True,2026-05-08T14:15:00,25,False
15m_fvg_15,15m,bullish,2026-05-08T14:15:00,79663.2,79898.2,True,2026-05-08T15:15:00,50,False
15m_fvg_16,15m,bearish,2026-05-08T15:15:00,79893.8,80084.1,True,2026-05-08T15:45:00,25,False
15m_fvg_17,15m,bullish,2026-05-08T15:45:00,79893.8,79933.5,True,2026-05-08T16:30:00,25,False
15m_fvg_18,15m,bearish,2026-05-08T16:30:00,79933.2,79949.6,True,2026-05-08T17:15:00,0,False
15m_fvg_19,15m,bearish,2026-05-08T16:45:00,79857.9,79900.0,True,2026-05-08T17:00:00,0,False
15m_fvg_20,15m,bullish,2026-05-08T17:30:00,79937.8,79984.9,False,,50,True
15m_fvg_21,15m,bearish,2026-05-08T19:00:00,80079.7,80106.1,True,2026-05-08T19:15:00,0,False
15m_fvg_22,15m,bullish,2026-05-08T20:00:00,80104.9,80129.4,True,2026-05-08T20:45:00,25,False
15m_fvg_23,15m,bullish,2026-05-08T20:15:00,80156.6,80186.1,True,2026-05-08T20:30:00,25,False
15m_fvg_24,15m,bullish,2026-05-08T22:00:00,80234.3,80236.5,True,2026-05-08T23:00:00,25,False
15m_fvg_25,15m,bullish,2026-05-08T22:15:00,80236.6,80291.8,True,2026-05-08T23:00:00,50,False
15m_fvg_26,15m,bearish,2026-05-08T23:00:00,80290.3,80300.5,True,2026-05-09T01:15:00,0,False
15m_fvg_27,15m,bearish,2026-05-08T23:15:00,80242.9,80278.2,True,2026-05-09T01:00:00,0,False
15m_fvg_28,15m,bearish,2026-05-08T23:30:00,80199.3,80218.6,True,2026-05-09T00:45:00,0,False
15m_fvg_29,15m,bullish,2026-05-09T01:00:00,80210.4,80214.9,True,2026-05-09T06:30:00,25,False
15m_fvg_30,15m,bullish,2026-05-09T01:15:00,80230.0,80245.9,True,2026-05-09T06:30:00,50,False
15m_fvg_31,15m,bullish,2026-05-09T04:15:00,80392.5,80442.5,True,2026-05-09T04:45:00,25,False
15m_fvg_32,15m,bearish,2026-05-09T05:00:00,80395.6,80397.4,True,2026-05-09T05:15:00,0,False
15m_fvg_33,15m,bullish,2026-05-09T05:30:00,80395.6,80422.4,True,2026-05-09T05:45:00,25,False
15m_fvg_34,15m,bearish,2026-05-09T06:30:00,80335.8,80368.7,True,2026-05-09T08:00:00,0,False
15m_fvg_35,15m,bearish,2026-05-09T06:45:00,80253.9,80284.3,True,2026-05-09T08:00:00,0,False
15m_fvg_36,15m,bullish,2026-05-09T08:15:00,80220.9,80370.4,True,2026-05-09T09:30:00,75,False
15m_fvg_37,15m,bearish,2026-05-09T09:15:00,80336.7,80393.8,True,2026-05-09T12:15:00,25,False
15m_fvg_38,15m,bearish,2026-05-09T09:30:00,80266.0,80336.6,True,2026-05-09T11:15:00,25,False
15m_fvg_39,15m,bullish,2026-05-09T10:45:00,80243.8,80262.6,True,2026-05-09T15:00:00,50,False
15m_fvg_40,15m,bullish,2026-05-09T11:30:00,80313.2,80331.4,True,2026-05-09T11:45:00,50,False
15m_fvg_41,15m,bearish,2026-05-09T14:30:00,80334.3,80344.8,True,2026-05-09T14:45:00,0,False
15m_fvg_42,15m,bullish,2026-05-09T15:30:00,80344.9,80400.9,False,,100,True
15m_fvg_43,15m,bullish,2026-05-09T15:45:00,80401.0,80470.8,False,,75,True
15m_fvg_44,15m,bullish,2026-05-09T16:30:00,80591.4,80602.2,True,2026-05-10T01:00:00,25,False
15m_fvg_45,15m,bullish,2026-05-09T17:15:00,80645.3,80700.0,True,2026-05-09T23:30:00,50,False
15m_fvg_46,15m,bullish,2026-05-09T17:30:00,80800.0,80812.2,True,2026-05-09T17:45:00,25,False
15m_fvg_47,15m,bullish,2026-05-09T18:30:00,80844.8,80893.4,True,2026-05-09T19:15:00,25,False
15m_fvg_48,15m,bearish,2026-05-09T19:30:00,80841.1,80863.0,True,2026-05-09T19:45:00,0,False
15m_fvg_49,15m,bullish,2026-05-09T20:00:00,80841.1,80843.0,True,2026-05-09T20:15:00,25,False
15m_fvg_50,15m,bearish,2026-05-09T20:30:00,80800.1,80843.0,True,2026-05-09T21:00:00,0,False
15m_fvg_51,15m,bearish,2026-05-09T21:30:00,80791.0,80797.7,True,2026-05-09T23:00:00,0,False
15m_fvg_52,15m,bearish,2026-05-09T23:15:00,80709.8,80750.7,True,2026-05-10T02:30:00,25,False
15m_fvg_53,15m,bearish,2026-05-09T23:30:00,80654.0,80680.1,True,2026-05-10T00:00:00,0,False
15m_fvg_54,15m,bullish,2026-05-10T00:15:00,80670.1,80682.8,True,2026-05-10T00:30:00,25,False
15m_fvg_55,15m,bearish,2026-05-10T01:15:00,80627.3,80629.1,True,2026-05-10T01:45:00,0,False
15m_fvg_56,15m,bullish,2026-05-10T02:30:00,80644.9,80690.8,True,2026-05-10T06:15:00,50,False
15m_fvg_57,15m,bullish,2026-05-10T04:30:00,80762.1,80766.6,True,2026-05-10T04:45:00,25,False
15m_fvg_58,15m,bearish,2026-05-10T05:00:00,80741.8,80766.6,True,2026-05-10T05:15:00,0,False
15m_fvg_59,15m,bearish,2026-05-10T06:00:00,80699.9,80734.3,True,2026-05-10T07:00:00,25,False
15m_fvg_60,15m,bullish,2026-05-10T07:15:00,80705.0,80723.5,True,2026-05-10T10:15:00,25,False
15m_fvg_61,15m,bullish,2026-05-10T08:30:00,80790.3,80798.2,True,2026-05-10T09:30:00,25,False
15m_fvg_62,15m,bearish,2026-05-10T09:45:00,80796.8,80800.1,True,2026-05-10T10:00:00,0,False
15m_fvg_63,15m,bullish,2026-05-10T11:00:00,80797.5,80848.5,True,2026-05-10T11:15:00,50,False
15m_fvg_64,15m,bearish,2026-05-10T11:30:00,80800.8,80848.5,True,2026-05-10T12:15:00,25,False
15m_fvg_65,15m,bullish,2026-05-10T12:30:00,80819.3,80870.2,True,2026-05-10T14:45:00,50,False
15m_fvg_66,15m,bearish,2026-05-10T14:15:00,80914.3,80937.9,True,2026-05-10T14:30:00,0,False
