zone_id,timeframe,zone_type,price_low,price_high,created_at,swept,swept_at,sweep_type,active
15m_liq_1,15m,swing_low_liquidity,79170.41,79297.19,2026-05-08T07:15:00,False,,,True
15m_liq_2,15m,swing_low_liquidity,79713.18,79840.82,2026-05-08T10:00:00,True,2026-05-08T14:00:00,bullish_sweep,False
15m_liq_3,15m,swing_high_liquidity,80401.43,80530.17,2026-05-08T12:30:00,True,2026-05-09T04:15:00,bearish_sweep,False
15m_liq_4,15m,swing_low_liquidity,79466.28,79593.52,2026-05-08T13:45:00,False,,,True
15m_liq_5,15m,swing_high_liquidity,80330.28,80458.92,2026-05-08T14:15:00,True,2026-05-09T03:00:00,bearish_sweep,False
15m_liq_6,15m,swing_low_liquidity,79554.21,79681.59,2026-05-08T15:30:00,False,,,True
15m_liq_7,15m,swing_low_liquidity,79666.22,79793.78,2026-05-08T17:00:00,False,,,True
15m_liq_8,15m,swing_high_liquidity,80202.79,80331.21,2026-05-08T18:15:00,True,2026-05-08T22:30:00,bearish_sweep,False
15m_liq_9,15m,swing_low_liquidity,79879.45,80007.35,2026-05-08T19:00:00,False,,,True
15m_liq_10,15m,swing_high_liquidity,80335.68,80464.32,2026-05-08T22:15:00,True,2026-05-09T03:00:00,bearish_sweep,False
15m_liq_11,15m,swing_low_liquidity,80042.71,80170.89,2026-05-08T23:30:00,False,,,True
15m_liq_12,15m,swing_low_liquidity,80245.85,80374.35,2026-05-09T03:30:00,True,2026-05-09T06:45:00,bullish_sweep,False
15m_liq_13,15m,swing_high_liquidity,80589.28,80718.32,2026-05-09T04:00:00,True,2026-05-09T16:15:00,bearish_sweep,False
15m_liq_14,15m,swing_low_liquidity,80068.29,80196.51,2026-05-09T07:00:00,False,,,True
15m_liq_15,15m,swing_high_liquidity,80358.96,80487.64,2026-05-09T08:30:00,True,2026-05-09T15:30:00,bearish_sweep,False
15m_liq_16,15m,swing_low_liquidity,80111.36,80239.64,2026-05-09T10:00:00,False,,,True
15m_liq_17,15m,swing_high_liquidity,80356.06,80484.74,2026-05-09T13:15:00,True,2026-05-09T15:30:00,bearish_sweep,False
15m_liq_18,15m,swing_low_liquidity,80178.91,80307.29,2026-05-09T15:00:00,False,,,True
15m_liq_19,15m,swing_high_liquidity,80985.16,81114.84,2026-05-09T18:15:00,True,2026-05-10T15:30:00,bearish_sweep,False
15m_liq_20,15m,swing_high_liquidity,80755.34,80884.66,2026-05-09T23:00:00,True,2026-05-10T09:00:00,bearish_sweep,False
15m_liq_21,15m,swing_low_liquidity,80496.85,80625.75,2026-05-10T01:15:00,False,,,True
15m_liq_22,15m,swing_high_liquidity,80780.12,80909.48,2026-05-10T03:30:00,True,2026-05-10T11:00:00,bearish_sweep,False
15m_liq_23,15m,swing_low_liquidity,80570.29,80699.31,2026-05-10T06:15:00,False,,,True
15m_liq_24,15m,swing_high_liquidity,80821.99,80951.41,2026-05-10T09:00:00,True,2026-05-10T11:00:00,bearish_sweep,False
15m_liq_25,15m,swing_low_liquidity,80602.37,80731.43,2026-05-10T10:15:00,False,,,True
15m_liq_26,15m,swing_high_liquidity,80889.34,81018.86,2026-05-10T11:00:00,True,2026-05-10T15:15:00,bearish_sweep,False
15m_liq_27,15m,swing_low_liquidity,80748.75,80878.05,2026-05-10T14:45:00,False,,,True
15m_liq_28,15m,swing_high_liquidity,81415.42,81545.78,2026-05-10T16:00:00,False,,,True
15m_liq_29,15m,swing_high_liquidity,81467.87,81598.33,2026-05-10T17:45:00,False,,,True
15m_liq_30,15m,equal_highs,80394.6,80465.8,2026-05-08T14:15:00,True,2026-05-09T03:00:00,bearish_sweep,False
15m_liq_31,15m,equal_highs,80267.0,80394.6,2026-05-08T18:15:00,True,2026-05-08T22:15:00,bearish_sweep,False
15m_liq_32,15m,equal_highs,80267.0,80400.0,2026-05-08T22:15:00,True,2026-05-09T01:45:00,bearish_sweep,False
15m_liq_33,15m,equal_highs,80420.4,80423.3,2026-05-09T13:15:00,False,,,True
15m_liq_34,15m,equal_highs,80820.0,80844.8,2026-05-10T03:30:00,True,2026-05-10T08:30:00,bearish_sweep,False
15m_liq_35,15m,equal_highs,80844.8,80886.7,2026-05-10T09:00:00,True,2026-05-10T11:15:00,bearish_sweep,False
