event_id,timeframe,event_time,event_type,price,broken_level,previous_structure,new_structure,confidence,confirmed_by_closed_candle
15m_structure_1,15m,2026-05-08T13:00:00,bearish_BOS,79673.0,79777.0,neutral,bearish,70,True
15m_structure_2,15m,2026-05-08T22:00:00,bullish_CHoCH,80363.5,80267.0,bearish,bullish,75,True
15m_structure_3,15m,2026-05-09T02:00:00,bullish_BOS,80433.8,80400.0,bullish,bullish,70,True
15m_structure_4,15m,2026-05-09T02:15:00,bullish_BOS,80413.6,80394.6,bullish,bullish,70,True
15m_structure_5,15m,2026-05-09T04:00:00,bullish_BOS,80565.9,80465.8,bullish,bullish,70,True
15m_structure_6,15m,2026-05-09T06:15:00,bearish_CHoCH,80294.3,80310.1,bullish,bearish,75,True
15m_structure_7,15m,2026-05-09T15:30:00,bullish_CHoCH,80471.8,80420.4,bearish,bullish,75,True
15m_structure_8,15m,2026-05-09T15:45:00,bullish_BOS,80518.8,80423.3,bullish,bullish,70,True
15m_structure_9,15m,2026-05-09T17:00:00,bullish_BOS,80739.5,80653.8,bullish,bullish,70,True
15m_structure_10,15m,2026-05-10T08:15:00,bullish_BOS,80856.3,80844.8,bullish,bullish,70,True
15m_structure_11,15m,2026-05-10T09:00:00,bullish_BOS,80825.6,80820.0,bullish,bullish,70,True
15m_structure_12,15m,2026-05-10T11:00:00,bullish_BOS,80907.5,80886.7,bullish,bullish,70,True
15m_structure_13,15m,2026-05-10T13:15:00,bullish_BOS,80982.5,80954.1,bullish,bullish,70,True
15m_structure_14,15m,2026-05-10T15:30:00,bullish_BOS,81112.5,81050.0,bullish,bullish,70,True
1h_structure_1,1h,2026-05-09T04:00:00,bullish_BOS,80565.9,80465.8,neutral,bullish,70,True
1h_structure_2,1h,2026-05-09T17:00:00,bullish_BOS,80739.5,80653.8,bullish,bullish,70,True
1h_structure_3,1h,2026-05-10T16:00:00,bullish_BOS,81474.1,81050.0,bullish,bullish,70,True
