entry_time,entry_price,timeframe,smart_money_score,smart_money_bias,structure_event,liquidity_event,order_block_nearby,fvg_nearby,premium_discount_zone,future_time_1h,future_return_1h,future_time_4h,future_return_4h,future_time_24h,future_return_24h,future_time_3d,future_return_3d,max_adverse_move,max_favorable_move,directional_return_1h,directional_return_4h,directional_return_24h,directional_return_3d,outcome
2026-05-04T10:00:00,78731.6,15m,35,bearish,bearish_BOS,,0,0,premium,2026-05-04T11:00:00,0.3915,2026-05-04T14:00:00,0.3043,2026-05-05T10:00:00,2.4824,,,-0.6635,5.1559,-0.3915,-0.3043,-2.4824,,LOSS
2026-05-04T14:45:00,80235.0,15m,35,bullish,bullish_CHoCH,,0,0,premium,2026-05-04T15:45:00,-0.2626,2026-05-04T18:45:00,-0.1619,2026-05-05T14:45:00,1.3743,,,-1.103,3.1855,-0.2626,-0.1619,1.3743,,WIN
2026-05-04T14:45:00,80235.0,15m,30,bullish,,bullish_sweep,0,0,premium,2026-05-04T15:45:00,-0.2626,2026-05-04T18:45:00,-0.1619,2026-05-05T14:45:00,1.3743,,,-1.103,3.1855,-0.2626,-0.1619,1.3743,,WIN
2026-05-04T15:15:00,79700.0,15m,35,bearish,,bearish_sweep,0,0,premium,2026-05-04T16:15:00,0.6762,2026-05-04T19:15:00,0.2908,2026-05-05T15:15:00,2.3838,,,-0.2664,3.8782,-0.6762,-0.2908,-2.3838,,LOSS
2026-05-04T17:45:00,80395.0,15m,35,bearish,,bearish_sweep,0,0,premium,2026-05-04T18:45:00,-0.3606,2026-05-04T21:45:00,-0.1802,2026-05-05T17:45:00,1.1058,,,-0.8109,2.9802,0.3606,0.1802,-1.1058,,LOSS
2026-05-04T23:30:00,79754.0,15m,40,bearish,bearish_CHoCH,,0,0,premium,2026-05-05T00:30:00,0.4041,2026-05-05T03:30:00,1.4496,2026-05-05T23:30:00,1.4688,,,-0.0137,3.8078,-0.4041,-1.4496,-1.4688,,LOSS
2026-05-04T23:45:00,79843.7,15m,30,bullish,,bullish_sweep,0,0,premium,2026-05-05T00:45:00,0.4059,2026-05-05T03:45:00,1.297,2026-05-05T23:45:00,1.324,,,-0.0447,3.6912,0.4059,1.297,1.324,,WIN
2026-05-05T02:00:00,80423.9,15m,50,bullish,bullish_CHoCH,,1,0,premium,2026-05-05T03:00:00,0.3082,2026-05-05T06:00:00,0.6783,2026-05-06T02:00:00,1.1167,,,-0.0652,2.9432,0.3082,0.6783,1.1167,,WIN
2026-05-05T02:00:00,80423.9,15m,35,bearish,,bearish_sweep,0,0,premium,2026-05-05T03:00:00,0.3082,2026-05-05T06:00:00,0.6783,2026-05-06T02:00:00,1.1167,,,-0.0652,2.9432,-0.3082,-0.6783,-1.1167,,LOSS
2026-05-05T02:30:00,80779.2,15m,45,bullish,bullish_BOS,,1,0,premium,2026-05-05T03:30:00,0.162,2026-05-05T06:30:00,0.0399,2026-05-06T02:30:00,0.5024,,,-0.3985,2.4904,0.162,0.0399,0.5024,,WIN
