zone_id,timeframe,zone_type,price_low,price_high,strength_score,touch_count,last_touched_at,broken,broken_at,retested,retested_at,active,reason
15m-swing-high-226,15m,resistance,81358.43,81602.77,55,12,2026-05-10T16:00:00+00:00,False,,False,,True,recent swing high
15m-swing-high-233,15m,resistance,81410.93,81655.27,55,7,2026-05-10T17:45:00+00:00,False,,False,,True,recent swing high
15m-swing-high-139,15m,resistance,80927.83,81172.17,55,16,2026-05-09T18:15:00+00:00,True,,False,,False,recent swing high
15m-swing-high-216,15m,resistance,80862.63,81106.97,55,29,2026-05-10T13:30:00+00:00,True,,False,,False,recent swing high
15m-swing-high-206,15m,resistance,80831.93,81076.27,55,36,2026-05-10T11:00:00+00:00,True,,False,,False,recent swing high
15m-swing-high-145,15m,resistance,80826.43,81070.77,55,38,2026-05-09T19:45:00+00:00,True,,False,,False,recent swing high
15m-swing-high-198,15m,resistance,80764.53,81008.87,55,67,2026-05-10T09:00:00+00:00,True,,False,,False,recent swing high
15m-swing-high-150,15m,resistance,80756.53,81000.87,55,69,2026-05-09T21:00:00+00:00,True,,False,,False,recent swing high
15m-swing-high-176,15m,resistance,80722.63,80966.97,55,78,2026-05-10T03:30:00+00:00,True,,False,,False,recent swing high
15m-swing-high-158,15m,resistance,80697.83,80942.17,55,81,2026-05-09T23:00:00+00:00,True,,False,,False,recent swing high
15m-swing-high-180,15m,resistance,80696.93,80941.27,55,81,2026-05-10T04:30:00+00:00,True,,False,,False,recent swing high
15m-swing-low-221,15m,support,80691.23,80935.57,55,81,2026-05-10T14:45:00+00:00,False,,False,,True,recent swing low
15m-swing-low-143,15m,support,80655.53,80899.87,55,80,2026-05-09T19:15:00+00:00,False,,False,,True,recent swing low
15m-swing-low-207,15m,support,80632.13,80876.47,55,82,2026-05-10T11:15:00+00:00,False,,False,,True,recent swing low
15m-swing-low-148,15m,support,80618.73,80863.07,55,80,2026-05-09T20:30:00+00:00,False,,False,,True,recent swing low
15m-swing-high-163,15m,resistance,80618.13,80862.47,55,79,2026-05-10T00:15:00+00:00,True,,False,,False,recent swing high
15m-previous-day-high,15m,previous_day_high,80927.83,81172.17,75,16,,True,,False,,False,previous day high
15m-previous-day-low,15m,previous_day_low,80001.83,80246.17,75,65,,False,,False,,True,previous day low
15m-round-81000,15m,round_number,80877.83,81122.17,50,27,,True,,False,,False,psychological round level
15m-round-82000,15m,round_number,81877.83,82122.17,30,0,,False,,False,,True,psychological round level
15m-round-80000,15m,round_number,79877.83,80122.17,50,34,,True,,False,,False,psychological round level
15m-ema20,15m,ema_support,81137.97,81382.31,70,15,,False,,False,,True,EMA20 dynamic level
15m-ema50,15m,ema_support,80949.62,81193.96,70,15,,False,,False,,True,EMA50 dynamic level
15m-ema200,15m,ema_support,80490.3,80734.64,70,50,,False,,False,,True,EMA200 dynamic level
15m-bb_lower,15m,bb_support,80786.18,81030.52,65,57,,False,,False,,True,bb_lower band level
15m-bb_upper,15m,bb_resistance,81500.19,81744.53,49,1,,False,,False,,True,bb_upper band level
1h-swing-high-38,1h,resistance,80927.86,81172.14,55,6,2026-05-09T19:00:00+00:00,True,,False,,False,recent swing high
1h-swing-high-47,1h,resistance,80722.66,80966.94,55,22,2026-05-10T04:00:00+00:00,True,,False,,False,recent swing high
1h-swing-low-54,1h,support,80544.76,80789.04,55,22,2026-05-10T11:00:00+00:00,False,,False,,True,recent swing low
1h-swing-high-23,1h,resistance,80531.66,80775.94,55,21,2026-05-09T04:00:00+00:00,True,,False,,False,recent swing high
1h-swing-low-50,1h,support,80512.66,80756.94,55,21,2026-05-10T07:00:00+00:00,False,,False,,True,recent swing low
1h-swing-low-45,1h,support,80439.16,80683.44,55,16,2026-05-10T02:00:00+00:00,False,,False,,True,recent swing low
1h-swing-high-8,1h,resistance,80343.66,80587.94,55,20,2026-05-08T13:00:00+00:00,True,,False,,False,recent swing high
1h-swing-low-34,1h,support,80120.96,80365.24,55,27,2026-05-09T15:00:00+00:00,False,,False,,True,recent swing low
1h-swing-low-26,1h,support,80010.26,80254.54,55,20,2026-05-09T07:00:00+00:00,False,,False,,True,recent swing low
1h-swing-low-9,1h,support,79407.76,79652.04,55,7,2026-05-08T14:00:00+00:00,False,,False,,True,recent swing low
1h-swing-low-3,1h,support,79111.66,79355.94,43,2,2026-05-08T08:00:00+00:00,False,,False,,True,recent swing low
1h-previous-day-high,1h,previous_day_high,80927.86,81172.14,75,6,,True,,False,,False,previous day high
1h-previous-day-low,1h,previous_day_low,79984.66,80228.94,75,20,,False,,False,,True,previous day low
1h-round-81000,1h,round_number,80877.86,81122.14,50,11,,True,,False,,False,psychological round level
1h-round-82000,1h,round_number,81877.86,82122.14,30,0,,False,,False,,True,psychological round level
1h-round-80000,1h,round_number,79877.86,80122.14,50,13,,True,,False,,False,psychological round level
1h-ema20,1h,ema_support,80812.0,81056.28,70,16,,False,,False,,True,EMA20 dynamic level
1h-ema50,1h,ema_support,80456.32,80700.6,70,15,,False,,False,,True,EMA50 dynamic level
1h-bb_lower,1h,bb_support,80233.26,80477.54,65,26,,False,,False,,True,bb_lower band level
1h-bb_upper,1h,bb_resistance,81262.49,81506.77,57,3,,False,,False,,True,bb_upper band level
4h-swing-high-9,4h,resistance,80927.79,81172.21,47,3,2026-05-09T20:00:00+00:00,True,,False,,False,recent swing high
4h-swing-high-5,4h,resistance,80531.59,80776.01,55,8,2026-05-09T04:00:00+00:00,True,,False,,False,recent swing high
4h-previous-day-high,4h,previous_day_high,80927.79,81172.21,67,3,,True,,False,,False,previous day high
4h-previous-day-low,4h,previous_day_low,79953.49,80197.91,75,7,,False,,False,,True,previous day low
4h-round-81000,4h,round_number,80877.79,81122.21,46,4,,True,,False,,False,psychological round level
4h-round-82000,4h,round_number,81877.79,82122.21,30,0,,False,,False,,True,psychological round level
4h-round-80000,4h,round_number,79877.79,80122.21,46,4,,True,,False,,False,psychological round level
4h-bb_lower,4h,bb_support,81351.89,81596.31,49,1,,False,,False,,True,bb_lower band level
4h-bb_upper,4h,bb_resistance,81351.89,81596.31,49,1,,False,,False,,True,bb_upper band level
