timeframe,timestamp,close,ema20,ema50,ema200,sma20,sma50,sma200,rsi14,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_squeeze,atr14,volume_ratio,volume_quality,trend_state,momentum_state,volatility_state,trend_strength_score
15m,2026-05-08T07:30:00+00:00,79558.7,,,,,,,37.88,,,,,,,,False,,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T07:45:00+00:00,79666.8,,,,,,,45.95,,,,,,,,False,,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T08:00:00+00:00,79706.5,,,,,,,48.59,,,,,,,,False,,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T08:15:00+00:00,79752.9,,,,,,,51.57,,,,,,,,False,116.35,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T08:30:00+00:00,79864.6,,,,,,,57.9,,,,,,,,False,116.94,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T08:45:00+00:00,79870.0,,,,,,,58.18,,,,,,,,False,114.87,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T09:00:00+00:00,79984.9,,,,,,,63.79,,,,,,,,False,116.02,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T09:15:00+00:00,79900.0,,,,,,,57.64,,,,,,,,False,117.47,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T09:30:00+00:00,79850.3,,,,,,,54.34,,,,,,,,False,114.75,,reliable,neutral,neutral,normal,20.0
15m,2026-05-08T09:45:00+00:00,79850.1,79671.18,,,79671.17,,,54.33,,,,80036.45,79671.17,79305.9,0.00917,False,112.16,0.6001,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T10:00:00+00:00,79809.9,79684.39,,,79679.23,,,51.56,,,,80049.5,79679.23,79308.96,0.009294,False,120.72,0.6563,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T10:15:00+00:00,79889.3,79703.9,,,79692.51,,,56.3,,,,80073.29,79692.51,79311.73,0.009556,False,117.99,0.138,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T10:30:00+00:00,80146.7,79746.07,,,79713.85,,,67.42,,,,80145.53,79713.85,79282.17,0.010831,False,128.3,0.896,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T10:45:00+00:00,80204.3,79789.71,,,79743.51,,,69.31,,,,80224.2,79743.51,79262.81,0.012056,False,126.42,2.5986,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T11:00:00+00:00,80215.0,79830.22,,,79775.24,,,69.66,,,,80292.95,79775.24,79257.52,0.012979,False,124.23,1.0118,reliable,neutral,neutral,normal,40.0
15m,2026-05-08T11:15:00+00:00,80290.3,79874.04,,,79812.4,,,72.08,238.4183,,,80366.57,79812.4,79258.23,0.013887,False,121.81,1.0496,reliable,neutral,overbought,normal,40.0
